sg,window,negative,ns_exponent,min_count,hr10,ndcg10,time
0,10,15,1.0,10,0.016,0.010010010794454169,4.9
1,3,5,-1.0,3,0.002,0.0006666666666666666,14.8
1,3,5,-1.0,5,0.008,0.002868673679487596,9.6
1,3,5,-1.0,10,0.008,0.004175827481690793,5.4
1,3,5,-0.5,3,0.006,0.002268726657994629,15.9
1,3,5,-0.5,5,0.008,0.0027370791890206857,9.9
1,3,5,-0.5,10,0.012,0.005127341600334113,5.1
1,3,5,0.0,3,0.006,0.0026350587306158695,15.9
1,3,5,0.0,5,0.01,0.004835626997505746,9.9
1,3,5,0.0,10,0.012,0.0055804628497313335,5.1
1,3,5,0.5,3,0.008,0.0040974865046486605,14.6
1,3,5,0.5,5,0.014,0.00684999995423286,9.4
1,3,5,0.5,10,0.02,0.009374704301960649,5.1
1,3,5,1.0,3,0.014,0.008676505669637624,12.8
1,3,5,1.0,5,0.02,0.007172155012587327,8.9
1,3,5,1.0,10,0.02,0.00853785878578441,5.0
1,3,10,-1.0,3,0.002,0.0006309297535714575,24.1
1,3,10,-1.0,5,0.012,0.005072978904678111,15.5
1,3,10,-1.0,10,0.01,0.005562695392072263,8.3
1,3,10,-0.5,3,0.012,0.004593492881616163,24.1
1,3,10,-0.5,5,0.01,0.004387400388716857,16.2
1,3,10,-0.5,10,0.01,0.005586625730764449,8.9
1,3,10,0.0,3,0.01,0.004408764345084953,27.2
1,3,10,0.0,5,0.01,0.006300835884929348,17.5
1,3,10,0.0,10,0.02,0.009220826136478597,7.5
1,3,10,0.5,3,0.012,0.007175827481690793,21.6
1,3,10,0.5,5,0.02,0.009168788539355868,13.7
1,3,10,0.5,10,0.016,0.007842494148357458,7.9
1,3,10,1.0,3,0.016,0.008141542765578016,20.6
1,3,10,1.0,5,0.02,0.009985151099277135,15.9
1,3,10,1.0,10,0.018,0.008268369623976828,8.6
1,3,15,-1.0,3,0.002,0.0006309297535714575,36.0
1,3,15,-1.0,5,0.016,0.0063042917796066284,23.1
1,3,15,-1.0,10,0.014,0.006769954079519326,11.8
1,3,15,-0.5,3,0.012,0.004780400973837587,32.6
1,3,15,-0.5,5,0.01,0.00456358490442545,19.8
1,3,15,-0.5,10,0.014,0.00794613859522792,10.0
1,3,15,0.0,3,0.014,0.006612070785782131,30.1
1,3,15,0.0,5,0.014,0.007486119988685128,18.4
1,3,15,0.0,10,0.016,0.008310269418105153,9.9
1,3,15,0.5,3,0.014,0.00835335492224167,28.5
1,3,15,0.5,5,0.02,0.009236057418107433,17.9
1,3,15,0.5,10,0.018,0.008854128931277272,9.9
1,3,15,1.0,3,0.022,0.010213016591768433,26.4
1,3,15,1.0,5,0.018,0.008307250180674491,24.4
1,3,15,1.0,10,0.022,0.011996904792174896,13.0
1,5,5,-1.0,3,0.008,0.0036052036349304172,18.0
1,5,5,-1.0,5,0.01,0.005463413107474748,12.2
1,5,5,-1.0,10,0.014,0.007042260480980502,7.9
1,5,5,-0.5,3,0.01,0.005701342275925477,19.8
1,5,5,-0.5,5,0.012,0.006034675609258811,13.0
1,5,5,-0.5,10,0.012,0.006513522977297071,6.9
1,5,5,0.0,3,0.012,0.005623877360185153,20.0
1,5,5,0.0,5,0.012,0.005538030577267621,14.5
1,5,5,0.0,10,0.016,0.008321746986190873,7.4
1,5,5,0.5,3,0.018,0.007459504357690899,19.5
1,5,5,0.5,5,0.016,0.008511674315842956,11.3
1,5,5,0.5,10,0.024,0.012229005024721127,6.1
1,5,5,1.0,3,0.018,0.009372137919636555,15.7
1,5,5,1.0,5,0.02,0.009822759119266323,11.2
1,5,5,1.0,10,0.026,0.01192979806706874,5.9
1,5,10,-1.0,3,0.012,0.006350039487156005,32.2
1,5,10,-1.0,5,0.014,0.00636597503860344,22.5
1,5,10,-1.0,10,0.02,0.009567594971491912,11.4
1,5,10,-0.5,3,0.01,0.005442049151106653,34.2
1,5,10,-0.5,5,0.01,0.005696980113652532,21.7
1,5,10,-0.5,10,0.02,0.010093734969698903,11.2
1,5,10,0.0,3,0.008,0.0047898792899563674,33.9
1,5,10,0.0,5,0.02,0.009104745674244148,21.6
1,5,10,0.0,10,0.02,0.011562414328448905,11.5
1,5,10,0.5,3,0.022,0.01088724194581576,33.6
1,5,10,0.5,5,0.022,0.0108796832584351,21.1
1,5,10,0.5,10,0.02,0.01012180886208462,11.4
1,5,10,1.0,3,0.018,0.009101615481693073,29.0
1,5,10,1.0,5,0.024,0.010621737997269879,20.2
1,5,10,1.0,10,0.02,0.011744418142224194,11.2
1,5,15,-1.0,3,0.012,0.005679916925812058,47.2
1,5,15,-1.0,5,0.016,0.006946217661074211,29.9
1,5,15,-1.0,10,0.016,0.008032003768008148,16.1
1,5,15,-0.5,3,0.012,0.006178971125293246,47.2
1,5,15,-0.5,5,0.012,0.006666309632648866,30.8
1,5,15,-0.5,10,0.02,0.011784174760223663,16.0
1,5,15,0.0,3,0.016,0.007334600287781175,49.6
1,5,15,0.0,5,0.022,0.009713919452703737,31.0
1,5,15,0.0,10,0.022,0.012563413112942241,16.1
1,5,15,0.5,3,0.022,0.010484071508047303,47.9
1,5,15,0.5,5,0.02,0.00948255863508128,30.2
1,5,15,0.5,10,0.02,0.010619624470052356,16.1
1,5,15,1.0,3,0.02,0.008766481429599569,42.6
1,5,15,1.0,5,0.024,0.011530621149863515,28.6
1,5,15,1.0,10,0.022,0.013026826220416989,16.1
1,7,5,-1.0,3,0.008,0.0042404341570294974,23.2
1,7,5,-1.0,5,0.016,0.008565261774396355,15.3
1,7,5,-1.0,10,0.016,0.009385072130432617,8.3
1,7,5,-0.5,3,0.01,0.006418118812414466,24.1
1,7,5,-0.5,5,0.016,0.008730916307987568,15.4
1,7,5,-0.5,10,0.018,0.01091292012176286,8.1
1,7,5,0.0,3,0.014,0.007068616742405167,24.5
1,7,5,0.0,5,0.016,0.00780675723526225,15.7
1,7,5,0.0,10,0.02,0.011336401006541345,8.1
1,7,5,0.5,3,0.018,0.009423595653112479,23.8
1,7,5,0.5,5,0.016,0.007141714557061227,15.3
1,7,5,0.5,10,0.02,0.01132790986722399,8.3
1,7,5,1.0,3,0.024,0.010966239249982548,21.1
1,7,5,1.0,5,0.016,0.008394911133403574,14.6
1,7,5,1.0,10,0.022,0.012055867774143695,8.1
1,7,10,-1.0,3,0.008,0.005712414374216043,42.4
